Key	Th_Name	Th_Description	En_Name	En_Description
tree_006	ตะกู	ปลูกต้นตะกู โตเร็วเลี้ยงง่าย เป็นต้นไม้ที่มีคุณค่าทางเศรษฐกิจ และสามารถนำเนื้อไม้ไปแปรรูป เพื่อใช้ประโยชน์ได้หลากหลาย	Bur-flower Tree	Description for Tree 006
tree_007	สะเดา	ปลูกสะเดา ผล และใบของสะเดา สามารถนำมาแปรรูป เป็นยาฆ่าแมลงได้ เป็นมิตรต่อผู้ใช้ ผู้บริโภค และสิ่งแวดล้อม	Siamese Neem Tree	Description for Tree 007
tree_008	มะฮอกกานี	ปลูกมะฮอกกานี เพื่อสร้างร่มเงาอันร่มรื่น ให้กับเกาะสวรรค์ นอกจากนี้ยังใช้ในการปลูก เป็นป่าทดแทนได้อีกด้วยนะ!	Mahogany	Description for Tree 008
ITEM_FURNITURE_DATA	----------------------------------------	----------------------------------------	----------------------------------------	----------------------------------------
fur_garden_001	แปลงปลูกผัก	ใช้สำหรับปลูกต้นไม้ บนเกาะสวรรค์ เพื่อสรรค์สร้างให้เกาะสวรรค์ เต็มไปด้วยสีเขียวขจี	Plot	Description for Garden Furniture 001
fur_garden_002	กระถาง	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Plot	Description for Garden Furniture 002
fur_garden_003	กระถาง	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Plot	Description for Garden Furniture 003
fur_garden_004	กระถาง	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Plot	Description for Garden Furniture 004
fur_garden_005	กระถาง	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Plot	Description for Garden Furniture 005
fur_garden_006	กระถาง	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Plot	Description for Garden Furniture 006
fur_garden_007	สปิ้งเกอร์	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Plot	Description for Garden Furniture 007
fur_garden_008	โซ่ร่าเซล	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Plot	Description for Garden Furniture 008
fur_garden_009	ถังน้ำ	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Plot	Description for Garden Furniture 009
fur_garden_010	คราด	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Plot	Description for Garden Furniture 010
fur_garden_011	บ้านนก	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Plot	Description for Garden Furniture 011
fur_garden_012	ถังขยะ	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Plot	Description for Garden Furniture 012
fur_001	แปลงปลูกผัก	ใช้สำหรับปลูกต้นไม้ บนเกาะสวรรค์ เพื่อสรรค์สร้างให้เกาะสวรรค์ เต็มไปด้วยสีเขียวขจี	Plot	Description for Furniture 001
fur_002	ก้อนหิน	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Rock	Description for Furniture 002
fur_003	ตอไม้	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Stump	Description for Furniture 003
fur_004	ถังไม้	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Wooden Barrel	Description for Furniture 004
fur_005	เก้าอี้	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Chair	Description for Furniture 005
fur_006	กล่องไม้	ใช้สำหรับวางตกแต่ง บริเวณภายในเกาะสวรรค์ให้สวยงาม	Wooden Box	Description for Furniture 006
